destacado,title,zona,ciudad,provinicia,price,currency,terreno,recamaras,banios,garage,publisher,whatsapp,phone,cellPhone,url
super-highlighted,,Zapotla,Iztacalco,Ciudad de México,2012600,MN,56 a 111 m²,2 a 3 recámaras,1 a 2  ,,Quiero Casa -,,5512077443,5512077443,https://www.inmuebles24.com/propiedades/quierocasa-puerta-58-63424533.html
super-highlighted,,Nativitas,Benito Juárez,Ciudad de México,3060575,MN,72 a 110 m²,2 a 3 recámaras,2  ,,Stefani Mendoza,,5576639533,,https://www.inmuebles24.com/propiedades/emma-192-62387137.html
super-highlighted,,Ciudad de los Deportes,Benito Juárez,Ciudad de México,3521054,MN,63 a 146m²,2 a 3 recámaras,2 a 3  ,,Quiero Casa -,,5512077443,5512077443,https://www.inmuebles24.com/propiedades/agatha-tintoreto-58835235.html
super-highlighted,,Artes Graficas,Venustiano Carranza,Ciudad de México,1494737,MN,40 a 67 m²,1 a 3 recámaras,1 a 2  ,,Quiero Casa -,,5512077443,5512077443,https://www.inmuebles24.com/propiedades/quierocasa-la-viga-222-63688652.html
super-highlighted,,Letrán Valle,Benito Juárez,Ciudad de México,4950000,MN,101 a 206m²,3 recámaras,2  ,,Alejandro Vargas,,5536171702,,https://www.inmuebles24.com/propiedades/av-cuauhtemoc-1187-61183783.html
super-highlighted,"Departamento en Venta Amueblado, Frente Al Mar, 3 Recámaras, Zona Hotelera, Cancún",Zona Hotelera,Cancún,Quintana Roo,1250000,USD,257 m²,3 rec.,4 ,2 ,A y A Bienes Raices,5219997474768,+52 999 7474768,,https://www.inmuebles24.com/propiedades/departamento-en-venta-amueblado-frente-al-mar-3-62973676.html
super-highlighted,Amplio PH Exterior con Excelentes Acabados y Gran Roof Privado,Lomas de Tecamachalco,Naucalpan de Juárez,Edo. de México,13150000,MN,350 m²,3 rec.,3 ,3 ,Inmobiliaria 7,5215542246591,5542246591,55 5542246591,https://www.inmuebles24.com/propiedades/amplio-ph-exterior-con-excelentes-acabados-y-gran-roof-62262732.html
super-highlighted,"Departamento en Letrán Valle con 3 Recámaras, Id: 31500.",Letrán Valle,Benito Juárez,Ciudad de México,5050000,MN,122 m²,3 rec.,2 ,1 ,INMOBILIARIA HOUM,5215626060564,5585264623,,https://www.inmuebles24.com/propiedades/departamento-en-letran-valle-con-3-recamaras-id:-62201505.html
super-highlighted,"Departamento en Venta en Merida, Temozon Park, Temozon Nte",Temozón Norte,Mérida,Yucatán,3700240,MN,94 m²,2 rec.,2 ,2 ,Ventas Tipi Bienes Raíces,5219993698580,9993698580,,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-merida-temozon-park-temozon-63268235.html
super-highlighted,Departamento en Venta en Aldea Zama Tulum,Tulum,Quintana Roo,Mexico,185000,USD,71 m²,2 rec.,1baño,,Virtual Realty Riviera Maya,5219842360245,9842360245,,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-aldea-zama-tulum-63792260.html
